,Player Name,Pos,Value
284,Laviska Shenault,WR111,1216
285,Isaiah Spiller,RB85,1202
286,Chase Claypool,WR115,1200
287,Hendon Hooker,QB38,1190
288,Sterling Shepard,WR117,1189
289,Mac Jones,QB39,1186
290,Sam Darnold,QB40,1185
291,Marquez Callaway,WR120,1185
292,Mike Badgley,PK13,1179
293,Kadarius Toney,WR124,1178
294,Robert Woods,WR123,1178
295,Jameis Winston,QB42,1177
296,Jimmy Garoppolo,QB43,1173
297,Trey Lance,QB44,1170
298,Parris Campbell,WR127,1168
299,Austin Hooper,TE41,1168
300,Justyn Ross,WR128,1166
301,Desmond Ridder,QB45,1163
302,Zach Evans,RB96,1162
303,Kenyan Drake,RB95,1162
304,Greg Zuerlein,PK14,1162
305,Zach Wilson,QB46,1160
306,Terrace Marshall,WR132,1159
307,Adam Trautman,TE44,1159
308,Graham Gano,PK15,1158
309,Julio Jones,WR135,1155
310,Rakim Jarrett,WR139,1150
311,Russell Gage,WR138,1150
312,Carson Wentz,QB47,1136
313,Chase Edmonds,RB104,1135
314,Tyrion Davis-Price,RB106,1128
315,Malik Willis,QB49,1119
316,Jalen Guyton,WR155,1103
317,Indianapolis Colts,DST17,1097
318,Cameron Dicker,PK16,1096
319,Donovan Peoples-Jones,WR156,1092
320,Albert Okwuegbunam,TE50,1081
321,Michael Thomas,WR157,1079
322,Hunter Renfrow,WR158,1071
323,James Robinson,RB119,1026
324,Darren Waller,TE52,1025
325,Jacksonville Jaguars,DST18,1021
326,Cameron Latu,TE54,1004
327,Darrell Henderson,RB122,987
328,Allen Robinson,WR162,962
329,Leonard Fournette,RB127,956
330,Matt Prater,PK17,954
331,Tampa Bay Buccaneers,DST19,917
332,Chris Boswell,PK19,910
333,Joey Slye,PK20,908
334,Los Angeles Chargers,DST20,863
335,Houston Texans,DST21,784
336,Chicago Bears,DST22,770
337,Cairo Santos,PK22,760
338,Dustin Hopkins,PK23,685
339,Kyle Trask,QB55,664
340,Minnesota Vikings,DST23,649
341,Jaren Hall,QB56,643
342,Ka'imi Fairbairn,PK24,592
343,Washington Commanders,DST24,565
344,Jake Moody,PK25,544
345,Cincinnati Bengals,DST25,513
346,Denver Broncos,DST26,502
347,Drew Lock,QB60,421
348,Chase McLaughlin,PK28,396
349,Nick Folk,PK29,364
350,Brandon Aubrey,PK30,332
351,Las Vegas Raiders,DST27,257
352,Blake Grupe,PK31,247
353,Eddy Pineiro,PK32,219
354,Austin Seibert,PK44,105
355,Arizona Cardinals,DST28,50
356,Atlanta Falcons,DST29,39
357,Will Reichard,PK59,39
358,Cam Little,PK72,25
359,Jake Bates,PK73,25
360,Tennessee Titans,DST31,0
361,New York Giants,DST30,0
362,Carolina Panthers,DST32,0
363,Joshua Karty,PK96,0
364,Brayden Narveson,PK99,0
365,Spencer Shrader,PK100,0
366,2025 Early 1st,PICK,5474.0
367,2026 Early 1st,PICK,4832.0
368,Jayden Reed,WR23,4755.0
369,2025 Mid 1st,PICK,4731.0
370,Tank Dell,WR25,4670.0
371,2027 Early 1st,PICK,4448.0
372,2026 Mid 1st,PICK,4285.0
373,2025 Late 1st,PICK,4282.0
374,2026 Late 1st,PICK,3962.0
375,2027 Mid 1st,PICK,3880.0
376,2027 Late 1st,PICK,3634.0
377,2025 Early 2nd,PICK,3490.0
378,Calvin Ridley,WR41,3308.0
379,Rashid Shaheed,WR42,3293.0
380,2025 Mid 2nd,PICK,3050.0
381,2026 Early 2nd,PICK,3026.0
382,2025 Late 2nd,PICK,2788.0
383,2027 Early 2nd,PICK,2787.0
384,2026 Mid 2nd,PICK,2772.0
385,Dontayvion Wicks,WR54,2768.0
386,2027 Mid 2nd,PICK,2598.0
387,2026 Late 2nd,PICK,2579.0
388,Ben Sinnott,TE15,2564.0
389,Jaleel McLaughlin,RB46,2550.0
390,Michael Wilson,WR61,2511.0
391,2027 Late 2nd,PICK,2370.0
392,Keaton Mitchell,RB48,2302.0
393,Ray Davis,RB49,2245.0
394,Andrei Iosivas,WR71,2221.0
395,Demario Douglas,WR72,2216.0
396,Rico Dowdle,RB51,2203.0
397,Justice Hill,RB52,2178.0
398,Tucker Kraft,TE19,2168.0
399,Javon Baker,WR73,2097.0
400,Greg Dortch,WR75,2061.0
401,2025 Early 3rd,PICK,2045.0
402,Jordan Whittington,WR78,1983.0
403,Jordan Whittington,WR78,1979.0
404,Tyrone Tracy,RB59,1938.0
405,2025 Mid 3rd,PICK,1869.0
406,Kimani Vidal,RB60,1859.0
407,2026 Early 3rd,PICK,1828.0
408,Colby Parkinson,TE23,1826.0
409,Geno Smith,QB29,1760.0
410,Carson Steele,RB63,1760.0
411,2025 Late 3rd,PICK,1703.0
412,2026 Mid 3rd,PICK,1662.0
413,2027 Early 3rd,PICK,1609.0
414,Malik Washington,WR86,1552.0
415,Theo Johnson,TE27,1546.0
416,Demarcus Robinson,WR87,1521.0
417,2027 Mid 3rd,PICK,1495.0
418,Jonathan Mingo,WR88,1461.0
419,Jalen Nailor,WR91,1449.0
420,2026 Late 3rd,PICK,1425.0
421,Emanuel Wilson,RB68,1422.0
422,Isaac Guerendo,RB69,1402.0
423,Dyami Brown,WR94,1370.0
424,Trey Palmer,WR95,1369.0
425,2027 Late 3rd,PICK,1363.0
426,Jauan Jennings,WR96,1354.0
427,Tyler Johnson,WR97,1346.0
428,Tre Tucker,WR98,1344.0
429,2025 Early 4th,PICK,1335.0
430,Gardner Minshew,QB33,1322.0
431,Dylan Laube,RB70,1318.0
432,Jacob Cowing,WR101,1271.0
433,Juwan Johnson,TE32,1264.0
434,Spencer Rattler,QB35,1256.0
435,Cam Akers,RB72,1203.0
436,Luke Schoonmaker,TE35,1194.0
437,Samaje Perine,RB74,1194.0
438,2026 Early 4th,PICK,1162.0
439,2025 Mid 4th,PICK,1156.0
440,Devaughn Vele,WR111,1150.0
441,A.T. Perry,WR112,1124.0
442,Erick All,TE36,1116.0
443,Tyler Conklin,TE37,1105.0
444,Cade Stover,TE38,1088.0
445,Xavier Gipson,WR113,1078.0
446,2025 Late 4th,PICK,1066.0
447,Johnny Wilson,WR114,1062.0
448,2026 Mid 4th,PICK,1059.0
449,K.J. Osborn,WR116,1050.0
450,Ray-Ray McCloud,WR117,1046.0
451,Rasheen Ali,RB79,1044.0
452,Sione Vaki,RB80,1027.0
453,Daniel Bellinger,TE39,1019.0
454,Jared Wiley,TE40,999.0
455,Bo Melton,WR122,989.0
456,2027 Early 4th,PICK,988.0
457,2027 Mid 4th,PICK,961.0
458,Noah Brown,WR124,954.0
459,2026 Late 4th,PICK,946.0
460,Foster Moreau,TE45,914.0
461,Emari Demercado,RB87,886.0
462,Ty Johnson,RB88,870.0
463,Tahj Washington,WR127,842.0
464,2027 Late 4th,PICK,842.0
465,Isaiah Davis,RB89,833.0
466,Ronnie Rivers,RB92,806.0
467,Jamari Thrash,WR128,806.0
468,Hayden Hurst,TE48,803.0
469,Tyler Scott,WR130,791.0
470,Justin Watson,WR132,774.0
471,Tyler Goodson,RB94,773.0
472,Jake Bobo,WR133,753.0
473,Aidan O'Connell,QB39,746.0
474,Brenton Strange,TE49,745.0
475,Olamide Zaccheaus,WR134,741.0
476,Frank Gore Jr.,RB96,723.0
477,JuJu Smith-Schuster,WR135,719.0
478,Blake Watson,RB97,716.0
479,Kylen Granson,TE50,710.0
480,Ainias Smith,WR136,710.0
481,Davis Allen,TE51,702.0
482,Kalif Raymond,WR138,678.0
483,Jacoby Brissett,QB40,677.0
484,Bub Means,WR139,672.0
485,Mack Hollins,WR140,668.0
486,Tommy Tremble,TE53,655.0
487,Ryan Flournoy,WR142,650.0
488,Chris Evans,RB100,641.0
489,Jeremy Ruckert,TE54,636.0
490,Will Dissly,TE55,632.0
491,Derius Davis,WR145,631.0
492,Trenton Irwin,WR146,626.0
493,Ronnie Bell,WR147,612.0
494,Mason Tipton,WR148,604.0
495,Cordarrelle Patterson,RB101,597.0
496,Joe Milton,QB42,593.0
497,DeeJay Dallas,RB102,587.0
498,Peyton Hendershot,TE56,580.0
499,Trayveon Williams,RB103,580.0
500,Charlie Jones,WR150,570.0
501,Brock Wright,TE57,570.0
502,Cedrick Wilson,WR151,569.0
503,Jordan Travis,QB44,560.0
504,Josh Whyle,TE58,543.0
505,Brandon Powell,WR153,530.0
506,Drew Sample,TE60,528.0
507,Devin Duvernay,WR154,528.0
508,Tylan Wallace,WR155,526.0
509,Josh Oliver,TE61,519.0
510,Elijah Higgins,TE62,518.0
511,Dorian Thompson-Robinson,QB45,515.0
512,KaVontae Turpin,WR156,511.0
513,Craig Reynolds,RB104,508.0
514,Malik Heath,WR157,506.0
515,D'Ernest Johnson,RB106,496.0
516,Julius Chestnut,RB107,493.0
517,Braxton Berrios,WR158,490.0
518,Nyheim Hines,RB108,488.0
519,Scotty Miller,WR159,482.0
520,Deonte Harty,WR160,482.0
521,Nick Westbrook-Ikhine,WR161,478.0
522,Travis Homer,RB109,478.0
523,Will Mallory,TE63,477.0
524,Jake Browning,QB47,469.0
525,AJ Barner,TE66,463.0
526,Kyle Philips,WR163,463.0
527,Anthony Schwartz,WR164,458.0
528,Trent Sherfield,WR165,450.0
529,Andrew Ogletree,TE67,443.0
530,Velus Jones,WR166,440.0
531,DeWayne McBride,RB113,431.0
532,Tip Reiman,TE68,426.0
533,Deneric Prince,RB114,418.0
534,Evan Hull,RB115,404.0
535,Jaret Patterson,RB116,403.0
536,Raheem Blackshear,RB117,390.0
537,Kendall Milton,RB118,390.0
538,Lucas Krull,TE69,386.0
539,Chris Rodriguez,RB120,386.0
540,Harrison Bryant,TE70,385.0
541,Nelson Agholor,WR170,380.0
542,Tim Patrick,WR169,380.0
543,Tre'Quan Smith,WR171,377.0
544,Keaontay Ingram,RB121,364.0
545,John Bates,TE71,362.0
546,Mo Alie-Cox,TE72,342.0
547,Isaiah Hodgins,WR172,338.0
548,Denzel Mims,WR176,291.0
549,Andy Dalton,QB52,286.0
550,Ian Thomas,TE73,280.0
551,Dillon Johnson,RB123,251.0
552,Joshua Dobbs,QB54,250.0
553,Kevin Harris,RB124,247.0
554,David Moore,WR179,242.0
555,Jarrett Stidham,QB55,238.0
556,Malik Davis,RB125,238.0
557,Quez Watkins,WR180,231.0
558,Charlie Kolar,TE77,222.0
559,Justin Shorter,WR181,222.0
560,Lil'Jordan Humphrey,WR182,221.0
561,Tommy DeVito,QB56,202.0
562,Chris Brooks,RB126,200.0
563,Malik Cunningham,WR183,199.0
564,Donald Parham,TE78,198.0
565,Tyler Huntley,QB57,194.0
566,Joshua Kelley,RB127,194.0
567,Zonovan Knight,RB128,183.0
568,Davis Mills,QB58,178.0
569,DeAndre Carter,WR190,150.0
570,Joe Flacco,QB61,136.0
571,Clayton Tune,QB62,136.0
572,Ryan Tannehill,QB67,134.0
573,Mason Rudolph,QB70,132.0
574,Taylor Heinicke,QB71,132.0
575,Tyson Bagent,QB72,131.0
576,Tyrod Taylor,QB73,130.0
577,Mike White,QB74,126.0
578,Stetson Bennett,QB75,125.0
579,Teagan Quitoriano,TE87,92.0
580,Skylar Thompson,QB77,90.0
581,Nick Mullens,QB78,84.0
582,Marcus Mariota,QB79,76.0
